param_name,lstm_,stacked_lstm_,gru_,stacked_gru_,mixed
mae,0.013547172769904137,0.013430902734398842,0.01090281456708908,0.015345871448516846,0.012855750508606434
mae_std,0.0005424281698651612,0.0008557387045584619,0.00024067579943221062,0.001171122188679874,0.0009284833213314414
rmse,0.017348199236692792,0.016960207151506732,0.014249714858836424,0.01904040034377876,0.016322483712766088
rmse_std,0.0005997297397254837,0.0008747741694519507,0.00029085284639651296,0.0011443849993734414,0.0009193407628179856
square,0.8754092018143771,0.8807455554167877,0.9160053343885659,0.849555394815033,0.8894887490421922
square_std,0.008598282344176937,0.012392392198135383,0.003439245520385653,0.018156198320941203,0.012556701849309777
probability,91.72155688622755,90.50898203592814,92.14071856287424,89.89520958083833,90.25449101796407
probability_std,0.4853163196840514,0.5107401829111363,0.681918681073675,0.688460017219577,1.762339133017274
accuracy,76.63173652694611,78.80239520958085,85.35928143712574,72.09580838323355,79.23652694610777
accuracy_std,2.1117337626662414,2.7138369326047105,1.1357530981072268,4.372282711369769,3.2375155668797424
